Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
9.35	N4	1	internal://	InNacks	0	0	0	0
9.35	N4	1	internal://	OutNacks	0	0	0	0
9.35	N4	1	internal://	InSatisfiedInterests	0	0	0	0
9.35	N4	1	internal://	InTimedOutInterests	0	0	0	0
9.35	N4	1	internal://	OutSatisfiedInterests	3.13855e-129	0	0	0
9.35	N4	1	internal://	OutTimedOutInterests	0	0	0	0
9.35	N4	2	internal://	InInterests	0	0	0	0
9.35	N4	2	internal://	OutInterests	0	0	0	0
9.35	N4	2	internal://	InData	0	0	0	0
9.35	N4	2	internal://	OutData	0	0	0	0
9.35	N4	2	internal://	InNacks	0	0	0	0
9.35	N4	2	internal://	OutNacks	0	0	0	0
9.35	N4	2	internal://	InSatisfiedInterests	1.56928e-129	0	0	0
9.35	N4	2	internal://	InTimedOutInterests	0	0	0	0
9.35	N4	2	internal://	OutSatisfiedInterests	0	0	0	0
9.35	N4	2	internal://	OutTimedOutInterests	0	0	0	0
9.35	N4	256	internal://	InInterests	0	0	0	0
9.35	N4	256	internal://	OutInterests	0	0	0	0
9.35	N4	256	internal://	InData	0	0	0	0
9.35	N4	256	internal://	OutData	0	0	0	0
9.35	N4	256	internal://	InNacks	0	0	0	0
9.35	N4	256	internal://	OutNacks	0	0	0	0
9.35	N4	256	internal://	InSatisfiedInterests	1.56928e-129	0	0	0
9.35	N4	256	internal://	InTimedOutInterests	0	0	0	0
9.35	N4	256	internal://	OutSatisfiedInterests	0	0	0	0
9.35	N4	256	internal://	OutTimedOutInterests	0	0	0	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	InInterests	2353.31	73.5409	118	3.6875
9.35	N4	257	netdev://[00:00:00:00:00:06]	OutInterests	0	0	0	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	InData	0	0	0	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	OutData	2353.31	2373.99	118	119.037
9.35	N4	257	netdev://[00:00:00:00:00:06]	InNacks	0	0	0	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	OutNacks	0	0	0	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	InSatisfiedInterests	2353.31	0	118	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	InTimedOutInterests	0	0	0	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	OutSatisfiedInterests	0	0	0	0
9.35	N4	257	netdev://[00:00:00:00:00:06]	OutTimedOutInterests	0	0	0	0
9.35	N4	258	appFace://	InInterests	0	0	0	0
9.35	N4	258	appFace://	OutInterests	2353.31	73.5409	118	3.6875
9.35	N4	258	appFace://	InData	2353.31	2373.99	118	119.037
9.35	N4	258	appFace://	OutData	0	0	0	0
9.35	N4	258	appFace://	InNacks	0	0	0	0
9.35	N4	258	appFace://	OutNacks	0	0	0	0
9.35	N4	258	appFace://	InSatisfiedInterests	0	0	0	0
9.35	N4	258	appFace://	InTimedOutInterests	0	0	0	0
9.35	N4	258	appFace://	OutSatisfiedInterests	2353.31	0	118	0
9.35	N4	258	appFace://	OutTimedOutInterests	0	0	0	0
9.35	N4	-1	all	SatisfiedInterests	2353.31	0	118	0
9.35	N4	-1	all	TimedOutInterests	0	0	0	0
9.35	N5	1	internal://	InInterests	0	0	0	0
9.35	N5	1	internal://	OutInterests	0	0	0	0
9.35	N5	1	internal://	InData	0	0	0	0
9.35	N5	1	internal://	OutData	0	0	0	0
9.35	N5	1	internal://	InNacks	0	0	0	0
9.35	N5	1	internal://	OutNacks	0	0	0	0
9.35	N5	1	internal://	InSatisfiedInterests	0	0	0	0
9.35	N5	1	internal://	InTimedOutInterests	0	0	0	0
9.35	N5	1	internal://	OutSatisfiedInterests	1.56928e-129	0	0	0
9.35	N5	1	internal://	OutTimedOutInterests	0	0	0	0
9.35	N5	2	internal://	InInterests	0	0	0	0
9.35	N5	2	internal://	OutInterests	0	0	0	0
9.35	N5	2	internal://	InData	0	0	0	0
9.35	N5	2	internal://	OutData	0	0	0	0
9.35	N5	2	internal://	InNacks	0	0	0	0
9.35	N5	2	internal://	OutNacks	0	0	0	0
9.35	N5	2	internal://	InSatisfiedInterests	1.56928e-129	0	0	0
9.35	N5	2	internal://	InTimedOutInterests	0	0	0	0
9.35	N5	2	internal://	OutSatisfiedInterests	0	0	0	0
9.35	N5	2	internal://	OutTimedOutInterests	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	InInterests	2353.31	73.5409	118	3.6875
9.35	N5	257	netdev://[00:00:00:00:00:08]	OutInterests	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	InData	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	OutData	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	InNacks	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	OutNacks	2353.31	73.5409	118	3.6875
9.35	N5	257	netdev://[00:00:00:00:00:08]	InSatisfiedInterests	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	InTimedOutInterests	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	OutSatisfiedInterests	0	0	0	0
9.35	N5	257	netdev://[00:00:00:00:00:08]	OutTimedOutInterests	0	0	0	0
9.35	N5	-1	all	SatisfiedInterests	1.56928e-129	0	0	0
9.35	N5	-1	all	TimedOutInterests	2353.31	0	118	0
9.4	N0	1	internal://	InInterests	0	0	0	0
9.4	N0	1	internal://	OutInterests	0	0	0	0
9.4	N0	1	internal://	InData	0	0	0	0
9.4	N0	1	internal://	OutData	0	0	0	0
9.4	N0	1	internal://	InNacks	0	0	0	0
9.4	N0	1	internal://	OutNacks	0	0	0	0
9.4	N0	1	internal://	InSatisfiedInterests	0	0	0	0
9.4	N0	1	internal://	InTimedOutInterests	0	0	0	0
9.4	N0	1	internal://	OutSatisfiedInterests	3.13855e-130	0	0	0
9.4	N0	1	internal://	OutTimedOutInterests	0	0	0	0
9.4	N0	256	internal://	InInterests	0	0	0	0
9.4	N0	256	internal://	OutInterests	0	0	0	0
9.4	N0	256	internal://	InData	0	0	0	0
9.4	N0	256	internal://	OutData	0	0	0	0
9.4	N0	256	internal://	InNacks	0	0	0	0
9.4	N0	256	internal://	OutNacks	0	0	0	0
9.4	N0	256	internal://	InSatisfiedInterests	3.13855e-130	0	0	0
9.4	N0	256	internal://	InTimedOutInterests	0	0	0	0
9.4	N0	256	internal://	OutSatisfiedInterests	0	0	0	0
9.4	N0	256	internal://	OutTimedOutInterests	0	0	0	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	OutInterests	2339.89	73.1216	117	3.65625
9.4	N0	257	netdev://[00:00:00:00:00:01]	InData	2336.67	2357.2	117	118.028
9.4	N0	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	2336.67	0	117	0
9.4	N0	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
9.4	N0	258	appFace://	InInterests	2339.89	73.1216	117	3.65625
9.4	N0	258	appFace://	OutInterests	0	0	0	0
9.4	N0	258	appFace://	InData	0	0	0	0
9.4	N0	258	appFace://	OutData	2336.67	2357.2	117	118.028
9.4	N0	258	appFace://	InNacks	0	0	0	0
9.4	N0	258	appFace://	OutNacks	0	0	0	0
9.4	N0	258	appFace://	InSatisfiedInterests	2336.67	0	117	0
9.4	N0	258	appFace://	InTimedOutInterests	0	0	0	0
9.4	N0	258	appFace://	OutSatisfiedInterests	0	0	0	0
9.4	N0	258	appFace://	OutTimedOutInterests	0	0	0	0
9.4	N0	-1	all	SatisfiedInterests	2336.67	0	117	0
9.4	N0	-1	all	TimedOutInterests	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	InInterests	2326.56	72.705	116	3.625
9.4	N1	257	netdev://[00:00:00:00:00:03]	OutInterests	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	InData	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	OutNacks	2326.56	72.705	116	3.625
9.4	N1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	0	0	0	0
9.4	N1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
9.4	N1	-1	all	SatisfiedInterests	0	0	0	0
9.4	N1	-1	all	TimedOutInterests	2326.56	0	116	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	InInterests	2339.89	73.1216	117	3.65625
9.4	N2	257	netdev://[00:00:00:00:00:02]	OutInterests	0	0	0	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	OutData	2336.67	2357.2	117	118.028
9.4	N2	257	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	2336.67	0	117	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	0	0	0	0
9.4	N2	257	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	InInterests	0	0	0	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	OutInterests	2339.89	73.1216	117	3.65625
9.4	N2	258	netdev://[00:00:00:00:00:04]	InData	0	0	0	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	OutData	0	0	0	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	InNacks	2339.89	73.1216	117	3.65625
9.4	N2	258	netdev://[00:00:00:00:00:04]	OutNacks	0	0	0	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	InSatisfiedInterests	0	0	0	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	InTimedOutInterests	0	0	0	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	OutSatisfiedInterests	2336.67	0	117	0
9.4	N2	258	netdev://[00:00:00:00:00:04]	OutTimedOutInterests	0	0	0	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	InInterests	0	0	0	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	OutInterests	2339.89	73.1216	117	3.65625
9.4	N2	259	netdev://[00:00:00:00:00:09]	InData	2336.67	2357.2	117	118.028
9.4	N2	259	netdev://[00:00:00:00:00:09]	OutData	0	0	0	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	OutNacks	0	0	0	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	0	0	0	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0	0	0	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	2336.67	0	117	0
9.4	N2	259	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0	0	0	0
9.4	N2	-1	all	SatisfiedInterests	2336.67	0	117	0
9.4	N2	-1	all	TimedOutInterests	0	0	0	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	InInterests	0	0	0	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	OutInterests	2339.89	73.1216	117	3.65625
9.4	N3	257	netdev://[00:00:00:00:00:05]	InData	2326.66	2347.11	116	117.02
9.4	N3	257	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	2326.66	0	116	0
9.4	N3	257	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	InInterests	0	0	0	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	OutInterests	2339.89	73.1216	117	3.65625
9.4	N3	258	netdev://[00:00:00:00:00:07]	InData	0	0	0	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	OutData	0	0	0	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	InNacks	2339.99	73.1248	117	3.65625
9.4	N3	258	netdev://[00:00:00:00:00:07]	OutNacks	0	0	0	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	InSatisfiedInterests	0	0	0	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	InTimedOutInterests	0	0	0	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	OutSatisfiedInterests	2326.66	0	116	0
9.4	N3	258	netdev://[00:00:00:00:00:07]	OutTimedOutInterests	0	0	0	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	InInterests	2339.89	73.1216	117	3.65625
9.4	N3	259	netdev://[00:00:00:00:00:0a]	OutInterests	0	0	0	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	InData	0	0	0	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	OutData	2326.66	2347.11	116	117.02
9.4	N3	259	netdev://[00:00:00:00:00:0a]	InNacks	0	0	0	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	OutNacks	0	0	0	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	InSatisfiedInterests	2326.66	0	116	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	InTimedOutInterests	0	0	0	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	OutSatisfiedInterests	0	0	0	0
9.4	N3	259	netdev://[00:00:00:00:00:0a]	OutTimedOutInterests	0	0	0	0
9.4	N3	-1	all	SatisfiedInterests	2326.66	0	116	0
9.4	N3	-1	all	TimedOutInterests	0	0	0	0
9.4	N4	1	internal://	InInterests	0	0	0	0
9.4	N4	1	internal://	OutInterests	0	0	0	0
9.4	N4	1	internal://	InData	0	0	0	0
9.4	N4	1	internal://	OutData	0	0	0	0
9.4	N4	1	internal://	InNacks	0	0	0	0
9.4	N4	1	internal://	OutNacks	0	0	0	0
9.4	N4	1	internal://	InSatisfiedInterests	0	0	0	0
9.4	N4	1	internal://	InTimedOutInterests	0	0	0	0
9.4	N4	1	internal://	OutSatisfiedInterests	6.2771e-130	0	0	0
9.4	N4	1	internal://	OutTimedOutInterests	0	0	0	0
9.4	N4	2	internal://	InInterests	0	0	0	0
9.4	N4	2	internal://	OutInterests	0	0	0	0
9.4	N4	2	internal://	InData	0	0	0	0
9.4	N4	2	internal://	OutData	0	0	0	0
9.4	N4	2	internal://	InNacks	0	0	0	0
9.4	N4	2	internal://	OutNacks	0	0	0	0
9.4	N4	2	internal://	InSatisfiedInterests	3.13855e-130	0	0	0
9.4	N4	2	internal://	InTimedOutInterests	0	0	0	0
9.4	N4	2	internal://	OutSatisfiedInterests	0	0	0	0
9.4	N4	2	internal://	OutTimedOutInterests	0	0	0	0
9.4	N4	256	internal://	InInterests	0	0	0	0
9.4	N4	256	internal://	OutInterests	0	0	0	0
9.4	N4	256	internal://	InData	0	0	0	0
9.4	N4	256	internal://	OutData	0	0	0	0
9.4	N4	256	internal://	InNacks	0	0	0	0
9.4	N4	256	internal://	OutNacks	0	0	0	0
9.4	N4	256	internal://	InSatisfiedInterests	3.13855e-130	0	0	0
9.4	N4	256	internal://	InTimedOutInterests	0	0	0	0
9.4	N4	256	internal://	OutSatisfiedInterests	0	0	0	0
9.4	N4	256	internal://	OutTimedOutInterests	0	0	0	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	InInterests	2326.66	72.7082	116	3.625
9.4	N4	257	netdev://[00:00:00:00:00:06]	OutInterests	0	0	0	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	InData	0	0	0	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	OutData	2326.66	2347.11	116	117.02
9.4	N4	257	netdev://[00:00:00:00:00:06]	InNacks	0	0	0	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	OutNacks	0	0	0	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	InSatisfiedInterests	2326.66	0	116	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	InTimedOutInterests	0	0	0	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	OutSatisfiedInterests	0	0	0	0
9.4	N4	257	netdev://[00:00:00:00:00:06]	OutTimedOutInterests	0	0	0	0
9.4	N4	258	appFace://	InInterests	0	0	0	0
9.4	N4	258	appFace://	OutInterests	2326.66	72.7082	116	3.625
9.4	N4	258	appFace://	InData	2326.66	2347.11	116	117.02
9.4	N4	258	appFace://	OutData	0	0	0	0
9.4	N4	258	appFace://	InNacks	0	0	0	0
9.4	N4	258	appFace://	OutNacks	0	0	0	0
9.4	N4	258	appFace://	InSatisfiedInterests	0	0	0	0
9.4	N4	258	appFace://	InTimedOutInterests	0	0	0	0
9.4	N4	258	appFace://	OutSatisfiedInterests	2326.66	0	116	0
9.4	N4	258	appFace://	OutTimedOutInterests	0	0	0	0
9.4	N4	-1	all	SatisfiedInterests	2326.66	0	116	0
9.4	N4	-1	all	TimedOutInterests	0	0	0	0
9.4	N5	1	internal://	InInterests	0	0	0	0
9.4	N5	1	internal://	OutInterests	0	0	0	0
9.4	N5	1	internal://	InData	0	0	0	0
9.4	N5	1	internal://	OutData	0	0	0	0
9.4	N5	1	internal://	InNacks	0	0	0	0
9.4	N5	1	internal://	OutNacks	0	0	0	0
9.4	N5	1	internal://	InSatisfiedInterests	0	0	0	0
9.4	N5	1	internal://	InTimedOutInterests	0	0	0	0
9.4	N5	1	internal://	OutSatisfiedInterests	3.13855e-130	0	0	0
9.4	N5	1	internal://	OutTimedOutInterests	0	0	0	0
9.4	N5	2	internal://	InInterests	0	0	0	0
9.4	N5	2	internal://	OutInterests	0	0	0	0
9.4	N5	2	internal://	InData	0	0	0	0
9.4	N5	2	internal://	OutData	0	0	0	0
9.4	N5	2	internal://	InNacks	0	0	0	0
9.4	N5	2	internal://	OutNacks	0	0	0	0
9.4	N5	2	internal://	InSatisfiedInterests	3.13855e-130	0	0	0
9.4	N5	2	internal://	InTimedOutInterests	0	0	0	0
9.4	N5	2	internal://	OutSatisfiedInterests	0	0	0	0
9.4	N5	2	internal://	OutTimedOutInterests	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	InInterests	2326.66	72.7082	116	3.625
9.4	N5	257	netdev://[00:00:00:00:00:08]	OutInterests	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	InData	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	OutData	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	InNacks	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	OutNacks	2326.66	72.7082	116	3.625
9.4	N5	257	netdev://[00:00:00:00:00:08]	InSatisfiedInterests	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	InTimedOutInterests	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	OutSatisfiedInterests	0	0	0	0
9.4	N5	257	netdev://[00:00:00:00:00:08]	OutTimedOutInterests	0	0	0	0
9.4	N5	-1	all	SatisfiedInterests	3.13855e-130	0	0	0
9.4	N5	-1	all	TimedOutInterests	2326.66	0	116	0
9.45	N0	1	internal://	InInterests	0	0	0	0
9.45	N0	1	internal://	OutInterests	0	0	0	0
9.45	N0	1	internal://	InData	0	0	0	0
9.45	N0	1	internal://	OutData	0	0	0	0
9.45	N0	1	internal://	InNacks	0	0	0	0
9.45	N0	1	internal://	OutNacks	0	0	0	0
9.45	N0	1	internal://	InSatisfiedInterests	0	0	0	0
9.45	N0	1	internal://	InTimedOutInterests	0	0	0	0
9.45	N0	1	internal://	OutSatisfiedInterests	6.2771e-131	0	0	0
9.45	N0	1	internal://	OutTimedOutInterests	0	0	0	0
9.45	N0	256	internal://	InInterests	0	0	0	0
9.45	N0	256	internal://	OutInterests	0	0	0	0
9.45	N0	256	internal://	InData	0	0	0	0
9.45	N0	256	internal://	OutData	0	0	0	0
9.45	N0	256	internal://	InNacks	0	0	0	0
9.45	N0	256	internal://	OutNacks	0	0	0	0
9.45	N0	256	internal://	InSatisfiedInterests	6.2771e-131	0	0	0
9.45	N0	256	internal://	InTimedOutInterests	0	0	0	0
9.45	N0	256	internal://	OutSatisfiedInterests	0	0	0	0
9.45	N0	256	internal://	OutTimedOutInterests	0	0	0	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	InInterests	0	0	0	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	OutInterests	2339.98	73.1243	117	3.65625
9.45	N0	257	netdev://[00:00:00:00:00:01]	InData	2323.33	2343.75	116	117.02
9.45	N0	257	netdev://[00:00:00:00:00:01]	OutData	0	0	0	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	0	0	0	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	2323.33	0	116	0
9.45	N0	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
9.45	N0	258	appFace://	InInterests	2339.98	73.1243	117	3.65625
9.45	N0	258	appFace://	OutInterests	0	0	0	0
9.45	N0	258	appFace://	InData	0	0	0	0
9.45	N0	258	appFace://	OutData	2323.33	2343.75	116	117.02
9.45	N0	258	appFace://	InNacks	0	0	0	0
9.45	N0	258	appFace://	OutNacks	0	0	0	0
9.45	N0	258	appFace://	InSatisfiedInterests	2323.33	0	116	0
9.45	N0	258	appFace://	InTimedOutInterests	0	0	0	0
9.45	N0	258	appFace://	OutSatisfiedInterests	0	0	0	0
9.45	N0	258	appFace://	OutTimedOutInterests	0	0	0	0
9.45	N0	-1	all	SatisfiedInterests	2323.33	0	116	0
9.45	N0	-1	all	TimedOutInterests	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	InInterests	2337.31	73.041	117	3.65625
9.45	N1	257	netdev://[00:00:00:00:00:03]	OutInterests	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	InData	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	OutData	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	InNacks	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	OutNacks	2337.31	73.041	117	3.65625
9.45	N1	257	netdev://[00:00:00:00:00:03]	InSatisfiedInterests	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	InTimedOutInterests	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	OutSatisfiedInterests	0	0	0	0
9.45	N1	257	netdev://[00:00:00:00:00:03]	OutTimedOutInterests	0	0	0	0
9.45	N1	-1	all	SatisfiedInterests	0	0	0	0
9.45	N1	-1	all	TimedOutInterests	2337.31	0	117	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	InInterests	2323.98	72.6243	116	3.625
9.45	N2	257	netdev://[00:00:00:00:00:02]	OutInterests	0	0	0	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	InData	0	0	0	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	OutData	2323.33	2343.75	116	117.02
9.45	N2	257	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	OutNacks	0	0	0	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	InSatisfiedInterests	2323.33	0	116	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	InTimedOutInterests	0	0	0	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	OutSatisfiedInterests	0	0	0	0
9.45	N2	257	netdev://[00:00:00:00:00:02]	OutTimedOutInterests	0	0	0	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	InInterests	0	0	0	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	OutInterests	2323.98	72.6243	116	3.625
9.45	N2	258	netdev://[00:00:00:00:00:04]	InData	0	0	0	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	OutData	0	0	0	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	InNacks	2323.98	72.6243	116	3.625
9.45	N2	258	netdev://[00:00:00:00:00:04]	OutNacks	0	0	0	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	InSatisfiedInterests	0	0	0	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	InTimedOutInterests	0	0	0	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	OutSatisfiedInterests	2323.33	0	116	0
9.45	N2	258	netdev://[00:00:00:00:00:04]	OutTimedOutInterests	0	0	0	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	InInterests	0	0	0	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	OutInterests	2323.98	72.6243	116	3.625
9.45	N2	259	netdev://[00:00:00:00:00:09]	InData	2323.33	2343.75	116	117.02
9.45	N2	259	netdev://[00:00:00:00:00:09]	OutData	0	0	0	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	InNacks	0	0	0	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	OutNacks	0	0	0	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	InSatisfiedInterests	0	0	0	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	InTimedOutInterests	0	0	0	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	OutSatisfiedInterests	2323.33	0	116	0
9.45	N2	259	netdev://[00:00:00:00:00:09]	OutTimedOutInterests	0	0	0	0
9.45	N2	-1	all	SatisfiedInterests	2323.33	0	116	0
9.45	N2	-1	all	TimedOutInterests	0	0	0	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	InInterests	0	0	0	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	OutInterests	2323.98	72.6243	116	3.625
9.45	N3	257	netdev://[00:00:00:00:00:05]	InData	2337.33	2357.88	117	118.028
9.45	N3	257	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	2337.33	0	117	0
9.45	N3	257	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
9.45	N3	258	netdev://[00:00:00:00:00:07]	InInterests	0	0	0	0
9.45	N3	258	netdev://[00:00:00:00:00:07]	OutInterests	2323.98	72.6243	116	3.625
